Identifiant,Année_naissance,Education,Situation_matrimoniale,Revenu,Enfant_charge,Ado_charge,Date_acquisition_client,Nombre_jours_depuis_dernier_achat,Montant_vin,Montant_fruits,Montant_viande,Montant_poisson,Montant_sucreries,Montant_luxe,Nb_achats_promo,Achats_en_ligne,Achats_catalogue,Achats_magasin,Nb_visites_web_mois,Accepte_Campagne_3,Accepte_Campagne_4,Accepte_Campagne_5,Accepte_Campagne_1,Accepte_Campagne_2,Reclamation_client,Z_CostContact,Z_Revenue,Response,Nb_achats_total,Depense_totale,Recence_jours,Tenure_jours,Nb_categories_achetees,R_score,F_score,M_score,RFM_score
5524,1957,Graduation,Single,58138.0,0,0,2012-04-09,58,635.0,88.0,546.0,172.0,88.0,88.0,3,8,10,4,7,0,0,0,0,0,0,3.0,11.0,1,22,1617.0,58,4938.0,6,3,5,5,355
2174,1954,Graduation,Single,46344.0,1,1,2014-08-03,38,11.0,1.0,6.0,2.0,1.0,6.0,2,1,1,2,5,0,0,0,0,0,0,3.0,11.0,0,4,27.0,38,4092.0,6,4,1,1,411
4141,1965,Graduation,Together,71613.0,0,0,,26,426.0,49.0,127.0,111.0,21.0,42.0,1,8,2,10,4,0,0,0,0,0,0,3.0,11.0,0,20,776.0,26,,6,4,4,4,444
6182,1984,Graduation,Together,26646.0,1,0,2014-10-02,26,11.0,4.0,20.0,10.0,3.0,5.0,2,2,0,4,6,0,0,0,0,0,0,3.0,11.0,0,6,53.0,26,4032.0,6,4,2,1,421
5324,1981,PhD,Married,58293.0,1,0,,94,173.0,43.0,118.0,46.0,27.0,15.0,5,5,3,6,5,0,0,0,0,0,0,3.0,11.0,0,14,422.0,94,,6,1,3,3,133
7446,1967,Master,Together,62513.0,0,1,2013-09-09,16,520.0,42.0,98.0,0.0,42.0,14.0,2,6,4,10,6,0,0,0,0,0,0,3.0,11.0,0,20,716.0,16,4420.0,5,5,4,4,544
965,1971,Graduation,Divorced,55635.0,0,1,,34,235.0,65.0,164.0,50.0,49.0,27.0,4,7,3,7,6,0,0,0,0,0,0,3.0,11.0,0,17,590.0,34,,6,4,4,3,443
6177,1985,PhD,Married,33454.0,1,0,2013-08-05,32,76.0,10.0,56.0,3.0,1.0,23.0,2,4,0,4,8,0,0,0,0,0,0,3.0,11.0,0,8,169.0,32,4455.0,6,4,2,2,422
4855,1974,PhD,Together,30351.0,1,0,2013-06-06,19,14.0,0.0,24.0,3.0,3.0,2.0,1,3,0,2,9,0,0,0,0,0,0,3.0,11.0,1,5,46.0,19,4515.0,5,5,1,1,511
5899,1950,PhD,Together,5648.0,1,1,,68,28.0,0.0,6.0,1.0,1.0,13.0,1,1,0,0,20,1,0,0,0,0,0,3.0,11.0,0,1,49.0,68,,5,2,1,1,211
