Identifiant,Année_naissance,Education,Situation_matrimoniale,Revenu,Enfant_charge,Ado_charge,Date_acquisition_client,Nombre_jours_depuis_dernier_achat,Montant_vin,Montant_fruits,Montant_viande,Montant_poisson,Montant_sucreries,Montant_luxe,Nb_achats_promo,Nb_achats_en_ligne,Achats_catalogue,Achats_magasin,Nb_visites_web_mois,Accepte_Campagne_3,Accepte_Campagne_4,Accepte_Campagne_5,Accepte_Campagne_1,Accepte_Campagne_2,Reclamation_client,Z_CostContact,Z_Revenue,Response,Depense_totale,Depense_plaisir,Part_plaisir,Taux_depense_sur_revenu,Total_achats,Part_achats_en_ligne,Part_achats_catalogue,Taux_visite_achat_web,Nb_enfants_total,Age,Score_engagement_marketing,Taux_acceptation_campagne
5524,1957,Graduation,Single,58138.0,0,0,2012-04-09,58,635.0,88.0,546.0,172.0,88.0,88.0,3,8,10,4,7,0,0,0,0,0,0,3.0,11.0,1,1617.0,811.0,0.5015460729746444,0.027813134266744644,22,0.36363636363636365,0.45454545454545453,1.1428571428571428,0,57,0,0.0
2174,1954,Graduation,Single,46344.0,1,1,2014-08-03,38,11.0,1.0,6.0,2.0,1.0,6.0,2,1,1,2,5,0,0,0,0,0,0,3.0,11.0,0,27.0,18.0,0.6666666666666666,0.0005825996892801658,4,0.25,0.25,0.2,2,60,0,0.0
4141,1965,Graduation,Together,71613.0,0,0,1970-01-01,26,426.0,49.0,127.0,111.0,21.0,42.0,1,8,2,10,4,0,0,0,0,0,0,3.0,11.0,0,776.0,489.0,0.6301546391752577,0.010836021392763883,20,0.4,0.1,2.0,0,49,0,0.0
6182,1984,Graduation,Together,26646.0,1,0,2014-10-02,26,11.0,4.0,20.0,10.0,3.0,5.0,2,2,0,4,6,0,0,0,0,0,0,3.0,11.0,0,53.0,19.0,0.3584905660377358,0.0019890415071680554,6,0.3333333333333333,0.0,0.3333333333333333,1,30,0,0.0
5324,1981,PhD,Married,58293.0,1,0,1970-01-01,94,173.0,43.0,118.0,46.0,27.0,15.0,5,5,3,6,5,0,0,0,0,0,0,3.0,11.0,0,422.0,215.0,0.509478672985782,0.007239291167035493,14,0.35714285714285715,0.21428571428571427,1.0,1,33,0,0.0
7446,1967,Master,Together,62513.0,0,1,2013-09-09,16,520.0,42.0,98.0,0.0,42.0,14.0,2,6,4,10,6,0,0,0,0,0,0,3.0,11.0,0,716.0,576.0,0.8044692737430168,0.011453617647529314,20,0.3,0.2,1.0,1,47,0,0.0
965,1971,Graduation,Divorced,55635.0,0,1,1970-01-01,34,235.0,65.0,164.0,50.0,49.0,27.0,4,7,3,7,6,0,0,0,0,0,0,3.0,11.0,0,590.0,311.0,0.5271186440677966,0.010604835085827267,17,0.4117647058823529,0.17647058823529413,1.1666666666666667,1,43,0,0.0
6177,1985,PhD,Married,33454.0,1,0,2013-08-05,32,76.0,10.0,56.0,3.0,1.0,23.0,2,4,0,4,8,0,0,0,0,0,0,3.0,11.0,0,169.0,100.0,0.591715976331361,0.0050517127996652115,8,0.5,0.0,0.5,1,29,0,0.0
4855,1974,PhD,Together,30351.0,1,0,2013-06-06,19,14.0,0.0,24.0,3.0,3.0,2.0,1,3,0,2,9,0,0,0,0,0,0,3.0,11.0,1,46.0,19.0,0.41304347826086957,0.001515600803927383,5,0.6,0.0,0.3333333333333333,1,40,0,0.0
5899,1950,PhD,Together,5648.0,1,1,1970-01-01,68,28.0,0.0,6.0,1.0,1.0,13.0,1,1,0,0,20,1,0,0,0,0,0,3.0,11.0,0,49.0,42.0,0.8571428571428571,0.008675637393767706,1,1.0,0.0,0.05,2,64,1,0.2
