Niveau,Valeur,Nb_clients,Taux_reponse,Depense_moy,Freq_achats_moy,Visites_web_moy,R_score_moy,F_score_moy,M_score_moy,RFM_score_moy
Global,Global,2233,0.14867890729959696,605.3806538289297,12.538289296909987,5.320197044334975,3.0,3.0,3.0,333.0
Education,2n Cycle,201,0.10945273631840796,501.0348258706468,11.631840796019901,5.462686567164179,3.0796019900497513,2.8208955223880596,2.771144278606965,338.94029850746267
Education,Basic,54,0.037037037037037035,81.79629629629629,5.222222222222222,6.87037037037037,3.0,1.5,1.5925925925925926,316.5925925925926
Education,Graduation,1126,0.1341030195381883,619.3694493783304,12.673179396092362,5.291296625222025,2.963587921847247,3.0319715808170513,3.0399644760213143,329.7184724689165
Education,Master,369,0.15447154471544716,610.2710027100271,12.495934959349594,5.186991869918699,3.046070460704607,3.005420054200542,3.013550135501355,337.6747967479675
Education,PhD,483,0.2070393374741201,670.9937888198758,13.451345755693582,5.256728778467909,3.0165631469979295,3.1635610766045548,3.1490683229813663,336.44099378881987
Situation_matrimoniale,Divorced,231,0.2077922077922078,612.991341991342,12.835497835497835,5.489177489177489,3.034632034632035,3.0432900432900434,3.0216450216450217,336.9177489177489
Situation_matrimoniale,Married,864,0.11342592592592593,590.8020833333334,12.563657407407407,5.364583333333333,3.0231481481481484,3.005787037037037,2.9837962962962963,335.35648148148147
Situation_matrimoniale,Single,482,0.22199170124481327,605.5186721991702,12.116182572614107,5.29253112033195,2.9896265560165975,2.9190871369294604,2.9771784232365146,331.1307053941909
Situation_matrimoniale,Together,579,0.10362694300518134,606.2383419689119,12.490500863557859,5.267702936096718,2.9585492227979273,2.987910189982729,2.9861830742659756,328.72020725388603
Situation_matrimoniale,Widow,77,0.24675324675324675,738.8181818181819,14.363636363636363,4.883116883116883,3.012987012987013,3.4025974025974026,3.3636363636363638,338.68831168831167
Budget,Campagne,2233,0.14867890729959696,,,,,,,
